Property,Value
name,"2-[(4s)-6-(4-Chlorophenyl)-8-Methoxy-1-Methyl-4h-[1,2,4]triazolo[4,3-A][1,4]benzodiazepin-4-Yl]-N-Ethylacetamide"
iupac_name,"2-[(4S)-6-(4-chlorophenyl)-8-methoxy-1-methyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepin-4-yl]-N-ethylacetamide"
smiles,CCNC(=O)CC1C2=NN=C(N2C3=C(C=C(C=C3)OC)C(=N1)C4=CC=C(C=C4)Cl)C
cid,46943432
inchi,"InChI=1S/C22H22ClN5O2/c1-4-24-20(29)12-18-22-27-26-13(2)28(22)19-10-9-16(30-3)11-17(19)21(25-18)14-5-7-15(23)8-6-14/h5-11,18H,4,12H2,1-3H3,(H,24,29)/t18-/m0/s1"
inchikey,AAAQFGUYHFJNHI-SFHVURJKSA-N
mol_weight,423.904
num_H_acceptors,6
num_H_donors,1
logp,3.66
tpsa,81.4
num_rot_bonds,5
saturation,0.27
drug_score_qed,0.68
drug_score_lipinski,1.0
drug_score_custom,0.65
drug_score_total,0.72
